Title,Year,Rated,Runtime,Genre,RottenTomatoes,Metascore,IMDB,BoxOffice
A Charlie Brown Christmas,1965,TV-G,25,"Animation, Comedy, Drama",94,0,8.3,0
A Christmas Carol,1984,PG,100,"Drama, Family, Fantasy",0,0,7.8,0
A Christmas Story,1983,PG,93,"Comedy, Family",89,77,7.9,20778141
A Cinderella Story: If the Shoe Fits,2016,PG,92,"Family, Fantasy, Musical, Romance",0,0,5.8,0
A Clockwork Orange,1971,NC-17,136,"Crime, Sci-Fi",87,77,8.3,26617553
A Dog's Journey,2019,PG,109,"Adventure, Comedy, Drama",51,43,7.4,22782371
A Dog's Life,1918,Not Rated,33,"Short, Comedy, Drama",0,0,7.7,0
A Dog's Purpose,2017,PG,100,"Adventure, Comedy, Drama",34,43,7.2,64508620
A Dog's Way Home,2019,PG,96,"Adventure, Drama, Family",59,50,6.7,42004346
A Fall from Grace,2020,TV-MA,120,Thriller,20,34,5.9,0
A Few Good Men,1992,R,138,"Drama, Thriller",84,62,7.7,141340178
A Fish Called Wanda,1988,R,108,"Comedy, Crime",96,80,7.5,62493712
A Ghost Story,2017,R,92,"Drama, Fantasy, Mystery",91,84,6.8,1596371
A Hard Day's Night,1964,G,87,"Comedy, Musical",98,96,7.5,1480356
A Hidden Life,2019,PG-13,174,"Biography, Drama, Romance",82,78,7.4,1730597
A History of Violence,2005,R,96,"Action, Crime, Drama",88,82,7.4,31504633
A League of Their Own,1992,PG,128,"Comedy, Drama, Sport",81,69,7.3,107533928
A Little Princess,1995,G,97,"Drama, Family, Fantasy",97,83,7.6,10015449
A Man Called Otto,2022,PG-13,126,"Comedy, Drama",70,51,7.5,64267657
A Man for All Seasons,1966,G,120,"Biography, Drama, History",89,72,7.7,0
A Matter of Life and Death,1946,PG,104,"Drama, Fantasy, Romance",97,0,8.0,0
A Million Miles Away,2023,PG,121,"Biography, Drama",0,0,7.3,0
A Monster Calls,2016,PG-13,108,"Adventure, Drama, Family",86,76,7.4,3740823
A Night at the Opera,1935,Approved,96,"Comedy, Music, Musical",97,0,7.8,2537520
A Nightmare on Elm Street,1984,R,91,Horror,95,76,7.4,25624448
A Perfect World,1993,PG-13,138,"Crime, Drama, Thriller",78,71,7.5,31130999
A Place in the Sun,1951,Approved,122,"Drama, Romance",82,76,7.7,0
A Princess for Christmas,2011,TV-G,91,"Comedy, Drama, Family",0,0,6.3,0
A Quiet Place,2018,PG-13,90,"Drama, Horror, Sci-Fi",96,82,7.5,188024361
A Quiet Place Part II,2020,PG-13,97,"Drama, Horror, Sci-Fi",91,71,7.2,160072261
A Shot in the Dark,1964,PG,102,"Comedy, Mystery",94,70,7.4,12368234
A Simple Plan,1998,R,121,"Crime, Drama, Thriller",90,82,7.5,16316273
A Single Man,2009,R,99,"Crime, Drama, Romance",86,77,7.5,9176000
A Star Is Born,2018,R,136,"Drama, Music, Romance",90,88,7.6,215333122
A Street Cat Named Bob,2016,Not Rated,103,"Biography, Drama, Family",77,54,7.3,82703
A Streetcar Named Desire,1951,PG,122,Drama,97,97,7.9,0
A Time to Kill,1996,R,149,"Crime, Drama, Thriller",67,54,7.5,108766007
A Walk in the Clouds,1995,PG-13,102,"Drama, Romance",46,54,6.7,50008143
A Walk to Remember,2002,PG,101,"Drama, Romance",29,35,7.3,41281092
A Woman Under the Influence,1974,R,155,"Drama, Romance",89,88,8.1,13336830
A.I. Artificial Intelligence,2001,PG-13,146,"Drama, Sci-Fi",76,65,7.2,78616689
Abominable,2019,PG,97,"Animation, Adventure, Comedy",82,61,7.0,61270390
About Time,2013,R,123,"Comedy, Drama, Fantasy",70,55,7.8,15322921
Ace in the Hole,1951,Approved,111,"Drama, Film-Noir",93,72,8.1,0
Across the Universe,2007,PG-13,133,"Drama, Fantasy, History",53,56,7.3,24602291
Adaptation.,2002,R,115,"Comedy, Drama",90,83,7.7,22498520
Adventures in Babysitting,2016,TV-G,105,"Adventure, Comedy, Family",86,0,5.9,0
After,2019,PG-13,105,"Drama, Romance",18,30,5.3,12138565
After Hours,1985,R,97,"Comedy, Crime, Drama",89,90,7.6,10609321
After We Collided,2020,R,105,"Drama, Romance",12,14,5.0,2386483
After We Fell,2021,R,98,"Drama, Romance",8,0,4.7,2170750
Aftersun,2022,R,102,Drama,96,95,7.6,1658790
Air,2023,R,111,"Drama, Sport",93,73,7.4,52460106
Airplane!,1980,PG,88,Comedy,97,78,7.7,83453539
Aladdin,1992,G,90,"Animation, Adventure, Comedy",95,86,8.0,217350219
Aladdin,2019,PG,128,"Adventure, Comedy, Family",57,53,6.9,355559216
Alice in Wonderland,1951,G,75,"Animation, Adventure, Comedy",84,68,7.3,0
Alien,1979,R,117,"Horror, Sci-Fi",93,89,8.5,81900459
Aliens,1986,R,137,"Action, Adventure, Sci-Fi",98,84,8.4,85160248
Alita: Battle Angel,2019,PG-13,122,"Action, Adventure, Sci-Fi",62,53,7.3,85838210
All About Eve,1950,Approved,138,Drama,99,98,8.2,63463
All My Life,2020,PG-13,91,"Drama, Romance",57,39,6.3,913935
All Quiet on the Western Front,1930,Approved,152,"Drama, War",98,91,8.1,0
All That Jazz,1979,R,123,"Drama, Music, Musical",87,72,7.8,37823676
All the Bright Places,2020,TV-MA,107,"Drama, Romance",65,61,6.6,0
All the President's Men,1976,PG,138,"Drama, History, Thriller",94,84,7.9,70600000
Almost Famous,2000,R,122,"Adventure, Comedy, Drama",89,90,7.9,32534850
"Aloha, Scooby-Doo!",2005,Not Rated,74,"Animation, Adventure, Comedy, Family, Mystery",0,0,6.4,0
Amadeus,1984,PG,160,"Biography, Drama, Music",89,87,8.4,51973029
American Beauty,1999,R,122,Drama,87,84,8.3,130096601
American Gangster,2007,R,157,"Biography, Crime, Drama",81,76,7.8,130164645
American History X,1998,R,119,"Crime, Drama",84,62,8.5,6719864
American Me,1992,R,125,"Biography, Crime, Drama",73,66,7.1,13086430
American Psycho,2000,R,102,"Crime, Drama, Horror",68,64,7.6,15070285
American Sniper,2014,R,133,"Action, Biography, Drama",72,72,7.3,350159020
American Splendor,2003,R,101,"Biography, Comedy, Drama",94,90,7.4,6010990
Ammonite,2020,R,117,"Biography, Drama, History",69,72,6.5,160930
An Affair to Remember,1957,Not Rated,115,"Drama, Romance",67,71,7.4,3850000
An American Crime,2007,R,98,"Biography, Crime, Drama",43,0,7.2,0
An American Werewolf in London,1981,R,97,"Comedy, Horror",89,55,7.5,30565292
Anastasia,1997,G,94,"Animation, Adventure, Drama",84,61,7.1,58406347
Anatomy of a Murder,1959,Not Rated,161,"Drama, Mystery",100,95,8.0,11900000
And Justice for All,1979,R,119,"Crime, Drama, Thriller",82,58,7.4,33300000
And Now for Something Completely Different,1971,PG,88,Comedy,88,0,7.5,0
Angel Heart,1987,NC-17,113,"Horror, Mystery, Thriller",82,61,7.2,17185632
Anima,2019,Not Rated,15,"Short, Music",0,0,7.6,0
Annie Hall,1977,PG,93,"Comedy, Romance",97,92,8.0,38251425
Anomalisa,2015,R,90,"Animation, Comedy, Drama",91,88,7.2,3759286
Anthropoid,2016,R,120,"Action, Biography, Drama",66,59,7.2,2964845
Ant-Man,2015,PG-13,117,"Action, Comedy, Sci-Fi",83,64,7.3,180202163
Apocalypse Now,1979,R,147,"Drama, Mystery, War",98,94,8.4,96042913
Apocalypto,2006,R,139,"Action, Adventure, Drama",65,68,7.8,50866635
Apollo 13,1995,PG,140,"Adventure, Drama, History",96,77,7.7,173837933
Argo,2012,R,120,"Biography, Drama, Thriller",96,86,7.7,136025503
Arizona Dream,1993,R,142,"Comedy, Drama, Fantasy",87,62,7.2,112547
Army of Darkness,1992,R,81,"Comedy, Horror",68,59,7.4,11502976
Arrival,2016,PG-13,116,"Drama, Mystery, Sci-Fi",94,81,7.9,100546139
Arsenic and Old Lace,1944,Not Rated,118,"Comedy, Crime, Thriller",86,0,7.9,0
As Good as It Gets,1997,PG-13,139,"Comedy, Drama, Romance",86,67,7.7,148478011
Assault on Precinct 13,1976,R,91,"Action, Crime, Thriller",96,89,7.3,0
Atonement,2007,R,123,"Drama, Mystery, Romance",83,85,7.8,50927067
August Rush,2007,PG,114,"Drama, Music",37,38,7.4,31664162
Avatar,2009,PG-13,162,"Action, Adventure, Fantasy",81,83,7.9,785221649
Avatar: The Way of Water,2022,PG-13,192,"Action, Adventure, Fantasy",76,67,7.6,684075767
Avengers: Age of Ultron,2015,PG-13,141,"Action, Adventure, Sci-Fi",76,66,7.3,459005868
Avengers: Endgame,2019,PG-13,181,"Action, Adventure, Drama",94,78,8.4,858373000
Avengers: Infinity War,2018,PG-13,149,"Action, Adventure, Sci-Fi",85,68,8.4,678815482
Awakenings,1990,PG-13,121,"Biography, Drama",84,74,7.8,52096475
Babel,2006,R,143,Drama,69,69,7.5,34302837
Baby Driver,2017,R,113,"Action, Crime, Drama",92,86,7.6,107825862
Babylon,2022,R,189,"Comedy, Drama, History",57,60,7.1,15351455
Back to the Future,1985,PG,116,"Adventure, Comedy, Sci-Fi",93,87,8.5,212836762
Back to the Future Part II,1989,PG,108,"Adventure, Comedy, Sci-Fi",62,57,7.8,119000002
Back to the Future Part III,1990,PG,118,"Adventure, Comedy, Sci-Fi",80,55,7.4,88277583
Back to the Outback,2021,PG,95,"Animation, Adventure, Comedy",82,58,6.5,0
Bad Boys for Life,2020,R,124,"Action, Comedy, Crime",76,59,6.5,206305244
Bad Day at Black Rock,1955,Approved,81,"Crime, Drama, Mystery",97,0,7.7,0
Bad Lieutenant,1992,NC-17,96,"Crime, Drama, Thriller",78,70,7.0,2000022
Badlands,1973,PG,94,"Action, Crime, Drama",97,93,7.7,0
Balto,1995,G,78,"Animation, Adventure, Drama",56,0,7.1,11348324
Bao,2018,G,8,"Animation, Short, Drama",89,0,7.5,0
Barbie,2023,PG-13,114,"Adventure, Comedy, Fantasy",88,80,7.0,636217322
Barbie and the Diamond Castle,2008,TV-Y,79,"Animation, Family, Musical",0,0,6.4,0
Barbie and the Magic of Pegasus 3-D,2005,TV-Y,83,"Animation, Family, Romance",0,0,6.5,0
Barbie and the Secret Door,2014,TV-Y,81,"Animation, Family",0,0,5.6,0
Barbie and the Three Musketeers,2009,TV-Y,81,"Animation, Family, Fantasy, Romance",0,0,6.2,0
Barbie as the Island Princess,2007,TV-Y,86,"Animation, Family",0,0,6.5,0
Barbie as The Princess and the Pauper,2004,Not Rated,85,"Animation, Comedy, Family, Musical",0,0,6.9,0
Barbie in 'A Christmas Carol',2008,TV-Y,76,"Animation, Family",0,0,6.3,0
Barbie in a Mermaid Tale,2010,TV-Y,75,"Animation, Family, Fantasy",0,0,6.3,0
Barbie in the 12 Dancing Princesses,2006,TV-Y,83,"Animation, Family",0,0,6.8,0
Barbie: A Fashion Fairytale,2010,TV-Y,79,"Animation, Family",0,0,6.3,0
Barbie: Princess Charm School,2011,TV-Y,81,"Animation, Family, Fantasy",0,0,6.5,0
Barbie: The Princess & the Popstar,2012,TV-Y,86,"Animation, Family, Musical",0,0,5.8,0
Barefoot in the Park,1967,G,106,"Comedy, Romance",81,55,7.0,0
Barney's Version,2010,R,134,"Comedy, Drama",77,67,7.3,4439201
Barry Lyndon,1975,PG,185,"Adventure, Drama, War",87,89,8.1,0
Barton Fink,1991,R,116,"Comedy, Drama, Thriller",89,69,7.6,6153939
Batman,1989,PG-13,126,"Action, Adventure",76,69,7.5,251409241
Batman Begins,2005,PG-13,140,"Action, Crime, Drama",85,70,8.2,206863479
Batman Beyond: Return of the Joker,2000,PG-13,76,"Animation, Action, Crime, Sci-Fi, Thriller",100,0,7.8,0
Batman vs Teenage Mutant Ninja Turtles,2019,PG-13,87,"Animation, Action, Adventure, Comedy, Crime, Fantasy, Sci-Fi",100,0,7.1,0
Batman vs. Robin,2015,PG-13,80,"Animation, Action, Adventure, Crime, Drama, Family, Sci-Fi, Thriller",100,0,7.1,0
Batman: Assault on Arkham,2014,PG-13,76,"Animation, Action, Adventure, Crime, Sci-Fi, Thriller",78,0,7.5,0
Batman: Death in the Family,2020,R,96,"Animation, Action, Crime, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller, War",78,0,5.5,0
Batman: Hush,2019,PG-13,81,"Animation, Action, Adventure, Crime, Drama, Mystery, Romance, Sci-Fi, Thriller",83,0,6.9,0
Batman: Mask of the Phantasm,1993,PG,76,"Animation, Action, Adventure",82,65,7.8,5635204
"Batman: The Dark Knight Returns, Part 1",2012,PG-13,76,"Animation, Action, Crime, Drama, Thriller",100,0,8.0,0
"Batman: The Dark Knight Returns, Part 2",2013,PG-13,76,"Animation, Action, Crime, Drama, Horror, Sci-Fi, Thriller",0,0,8.4,0
"Batman: The Long Halloween, Part One",2021,PG-13,85,"Animation, Action, Crime",100,0,7.2,0
"Batman: The Long Halloween, Part Two",2021,R,87,"Animation, Action, Crime",100,0,7.2,0
Batman: Under the Red Hood,2010,PG-13,75,"Animation, Action, Crime, Drama, Mystery, Sci-Fi, Thriller",100,0,8.1,0
Batman: Year One,2011,PG-13,64,"Animation, Action, Crime, Drama, Thriller",89,0,7.4,0
Battlestar Galactica: Razor,2007,Not Rated,101,"Action, Drama, Sci-Fi",0,0,7.6,0
Beasts of No Nation,2015,TV-MA,137,"Drama, War",91,79,7.7,90777
Beautiful Boy,2018,R,120,"Biography, Drama",68,62,7.4,7649973
Beauty and the Beast,1991,G,84,"Animation, Family, Fantasy",93,95,8.0,218967620
Becoming Jane,2007,PG,120,"Biography, Drama, Romance",58,55,7.0,18670946
Beetlejuice,1988,PG,92,"Comedy, Fantasy",86,70,7.5,74664632
Before Midnight,2013,R,109,"Drama, Romance",98,94,7.9,8114627
Before Sunrise,1995,R,101,"Drama, Romance",100,77,8.1,5535405
Before Sunset,2004,R,80,"Drama, Romance",94,91,8.1,5820649
Before the Devil Knows You're Dead,2007,R,117,"Crime, Drama, Thriller",89,86,7.3,7084227
Begin Again,2013,R,104,"Comedy, Drama, Music",83,62,7.4,16170632
Being John Malkovich,1999,R,113,"Comedy, Drama, Fantasy",94,90,7.7,22863596
Being There,1979,PG,130,"Comedy, Drama",95,83,7.9,30177511
Belfast,2021,PG-13,98,"Biography, Drama, Romance",86,75,7.2,9250870
Believe Me: The Abduction of Lisa McVey,2018,TV-14,87,"Biography, Crime, Drama",0,0,7.2,0
Belle,2013,PG,100,"Biography, Drama, Romance",84,64,7.3,10726630
Ben-Hur,1959,G,212,"Adventure, Drama",85,90,8.1,74432704
Beverly Hills Cop,1984,R,105,"Action, Comedy, Crime",83,66,7.4,234760478
Bicentennial Man,1999,PG,132,"Drama, Romance, Sci-Fi",37,42,6.9,58223861
Big,1988,PG,104,"Comedy, Drama, Fantasy",98,73,7.3,115227281
Big Fish,2003,PG-13,125,"Adventure, Drama, Fantasy",75,58,8.0,66809693
Big Hero 6,2014,PG,102,"Animation, Action, Adventure",90,74,7.8,222527828
Big Time Adolescence,2019,R,91,"Comedy, Drama",85,64,6.9,0
Big Trouble in Little China,1986,PG-13,99,"Action, Adventure, Comedy",74,53,7.2,11100000
Billy Elliot,2000,R,110,"Drama, Music",85,74,7.7,21995263
Birdman or (The Unexpected Virtue of Ignorance),2014,R,119,"Comedy, Drama",91,87,7.7,42340598
Birdy,1984,R,120,"Drama, War",84,71,7.2,1455045
Bitter Moon,1992,R,139,"Drama, Romance, Thriller",63,62,7.2,1862805
Black Beauty,2020,TV-PG,110,"Drama, Family",48,52,6.4,0
Black Dynamite,2009,R,84,"Action, Comedy",83,65,7.4,242578
Black Hawk Down,2001,R,144,"Action, Drama, History",77,74,7.7,108638745
Black Narcissus,1947,Not Rated,101,Drama,100,86,7.7,0
Black Panther,2018,PG-13,134,"Action, Adventure, Sci-Fi",96,88,7.3,700426566
Black Panther: Wakanda Forever,2022,PG-13,161,"Action, Adventure, Drama",83,67,6.7,453829060
Black Swan,2010,R,108,"Drama, Thriller",85,79,8.0,106954678
Black Widow,2021,PG-13,134,"Action, Adventure, Sci-Fi",79,68,6.7,183651655
BlackBerry,2023,R,120,"Biography, Comedy, Drama",98,80,7.4,1476597
BlacKkKlansman,2018,R,135,"Biography, Comedy, Crime",96,83,7.5,49275340
Blade Runner,1982,R,117,"Action, Drama, Sci-Fi",88,84,8.1,32914489
Blade Runner 2049,2017,R,164,"Action, Drama, Mystery",88,81,8.0,92071675
Blade Runner: Black Out 2022,2017,Not Rated,15,"Animation, Short, Sci-Fi",0,0,7.3,0
Blazing Saddles,1974,R,93,"Comedy, Western",88,73,7.7,119616663
Blindspotting,2018,R,95,"Comedy, Crime, Drama",94,76,7.4,4333394
Blood and Bone,2009,R,93,"Action, Crime, Drama",0,0,6.7,0
Blood Diamond,2006,R,143,"Adventure, Drama, Thriller",63,64,8.0,57377916
Blood Simple,1984,R,99,"Crime, Drama, Thriller",94,84,7.6,3851855
Blow,2001,R,124,"Biography, Crime, Drama",55,52,7.5,52990775
Blow Out,1981,R,108,"Crime, Drama, Mystery",88,86,7.4,12000000
Blow-Up,1966,Not Rated,111,"Drama, Mystery, Thriller",87,82,7.5,0
Blue Velvet,1986,R,120,"Crime, Drama, Mystery",95,76,7.7,8551228
Bo Burnham: Inside,2021,TV-MA,87,"Documentary, Comedy, Drama",95,0,8.6,0
Bo Burnham: Make Happy,2016,TV-MA,60,"Comedy, Music",100,0,8.3,0
Bohemian Rhapsody,2018,PG-13,134,"Biography, Drama, Music",60,49,7.9,216668042
Boiling Point,2021,R,92,"Drama, Thriller",99,73,7.5,0
Bonnie and Clyde,1967,R,111,"Action, Biography, Crime",90,86,7.7,0
Boogie Nights,1997,R,155,Drama,94,85,7.9,26416349
Booksmart,2019,R,102,Comedy,96,84,7.1,22680962
Bound,1996,R,109,"Crime, Thriller",86,61,7.3,3802260
Bound by Honor,1993,R,180,"Crime, Drama",62,47,7.9,4496583
Boy,2010,Not Rated,87,"Comedy, Drama",88,70,7.5,256211
Boy A,2007,R,106,Drama,88,75,7.6,113662
Boyhood,2014,R,165,Drama,97,100,7.9,25352281
Boyka: Undisputed,2016,R,86,"Action, Drama, Sport",0,0,7.0,0
Boys Don't Cry,1999,R,118,"Biography, Crime, Drama",90,86,7.5,11540607
Boyz n the Hood,1991,R,112,"Crime, Drama",96,76,7.8,57504069
Brain on Fire,2016,PG-13,88,"Biography, Drama",13,34,6.6,0
Bram Stoker's Dracula,1992,R,128,"Drama, Fantasy, Horror",78,57,7.4,82522790
Braveheart,1995,R,178,"Biography, Drama, History",76,68,8.3,75609945
Brazil,1985,R,132,"Drama, Sci-Fi, Thriller",98,84,7.9,9929135
Breakfast at Tiffany's,1961,Approved,115,"Comedy, Drama, Romance",88,76,7.6,0
Breakfast on Pluto,2005,R,128,"Comedy, Drama",58,59,7.2,828699
Breakthrough,2019,PG,116,"Biography, Drama",62,46,6.3,40713082
Breathe,2017,PG-13,118,"Biography, Drama, Romance",68,51,7.1,490131
Bridge of Spies,2015,PG-13,142,"Drama, History, Thriller",91,81,7.6,72313754
Bridge to Terabithia,2007,PG,96,"Drama, Family, Fantasy",85,74,7.2,82272442
Brief Encounter,1945,Not Rated,86,"Drama, Romance",93,92,8.0,0
Brigsby Bear,2017,PG-13,97,"Comedy, Drama",82,67,7.3,532669
Brimstone,2016,R,148,"Drama, Mystery, Thriller",43,45,7.0,0
Bring Me the Head of Alfredo Garcia,1974,R,112,"Action, Crime, Drama",78,80,7.4,0
Bringing Up Baby,1938,Approved,102,Comedy,97,91,7.8,0
Broadway Danny Rose,1984,PG,84,Comedy,100,82,7.4,10600497
Brokeback Mountain,2005,R,134,"Drama, Romance",88,87,7.7,83043761
Brooklyn,2015,PG-13,117,"Drama, Romance",97,88,7.5,38322743
Brother,2000,R,114,"Crime, Drama, Thriller",47,47,7.1,450594
Brother Bear,2003,G,85,"Animation, Adventure, Comedy",37,48,6.8,85336277
Brothers,2009,R,105,"Drama, Thriller, War",64,58,7.1,28544157
Brubaker,1980,R,131,"Crime, Drama",75,54,7.1,37121708
Buffalo '66,1998,R,110,"Comedy, Drama, Romance",77,68,7.4,2375097
Bullet Train,2022,R,127,"Action, Comedy, Thriller",54,49,7.3,103368602
Bullets Over Broadway,1994,R,98,"Comedy, Crime",95,0,7.4,13383747
Bullitt,1968,PG,114,"Action, Crime, Thriller",98,81,7.4,511350
Burlesque,2010,PG-13,119,"Drama, Music, Musical",37,47,6.4,39440655
Burn-E,2008,G,8,"Animation, Short, Adventure",0,0,7.6,0
Butch Cassidy and the Sundance Kid,1969,PG,110,"Biography, Crime, Drama",90,66,8.0,102308889
Cabaret,1972,PG,124,"Drama, Music, Musical",92,80,7.8,0
Cadillac Records,2008,R,109,"Biography, Drama, Music",66,65,7.0,8195551
Call Me by Your Name,2017,R,132,"Drama, Romance",94,94,7.8,18095701
Calvary,2014,R,102,"Crime, Drama, Mystery",89,77,7.4,3600006
Candy,2006,R,108,"Drama, Romance",47,57,7.2,45128
Cape Fear,1962,Approved,106,"Drama, Thriller",96,76,7.7,0
Cape Fear,1991,R,128,"Crime, Thriller",75,73,7.3,79091969
Captain America: Civil War,2016,PG-13,147,"Action, Sci-Fi",91,75,7.8,408084349
Captain America: The Winter Soldier,2014,PG-13,136,"Action, Adventure, Sci-Fi",90,70,7.8,259766572
Captain Fantastic,2016,R,118,"Comedy, Drama",83,72,7.8,5879835
Captain Phillips,2013,PG-13,134,"Action, Biography, Crime",93,82,7.8,107100855
Carlito's Way,1993,R,144,"Crime, Drama, Thriller",84,66,7.9,36948322
Carl's Date,2023,G,8,"Animation, Short, Comedy",0,0,6.4,0
Carnage,2011,R,80,"Comedy, Drama",70,61,7.1,2547047
Carol,2015,R,118,"Drama, Romance",94,94,7.2,12711491
Carrie,1976,R,98,"Horror, Mystery",93,86,7.4,33800000
Casablanca,1942,PG,102,"Drama, Romance, War",99,100,8.5,4219709
Casino,1995,R,178,"Crime, Drama",79,73,8.2,42512375
Casino Royale,2006,PG-13,144,"Action, Adventure, Thriller",94,80,8.0,167445960
Cast Away,2000,PG-13,143,"Adventure, Drama, Romance",89,73,7.8,233632142
Casualties of War,1989,R,113,"Action, Crime, Drama",84,75,7.1,18671317
Cat on a Hot Tin Roof,1958,Not Rated,108,Drama,97,84,7.9,0
Catch Me If You Can,2002,PG-13,141,"Biography, Crime, Drama",96,75,8.1,164615351
Changeling,2008,R,141,"Biography, Crime, Drama",62,63,7.8,35739802
Chaplin,1992,PG-13,143,"Biography, Comedy, Drama",60,47,7.5,9493259
Charade,1963,Approved,113,"Comedy, Mystery, Romance",94,83,7.9,0
Charlie and the Chocolate Factory,2005,PG,115,"Adventure, Comedy, Family",83,72,6.7,206459076
Charm City Kings,2020,R,125,Drama,79,62,6.6,0
Chef,2014,R,114,"Adventure, Comedy, Drama",87,68,7.3,31424003
Chemical Hearts,2020,R,93,"Drama, Romance",60,57,6.3,0
Cherry,2021,R,142,"Biography, Crime, Drama",37,44,6.6,0
Chicago,2002,PG-13,113,"Comedy, Crime, Musical",86,81,7.2,170687518
Chicken Run: Dawn of the Nugget,2023,PG,101,"Animation, Adventure, Comedy",0,0,0.0,0
Children of Men,2006,R,109,"Action, Drama, Sci-Fi",92,84,7.9,35552383
Chinatown,1974,R,130,"Drama, Mystery, Thriller",99,92,8.2,29200000
Christopher Robin,2018,PG,104,"Adventure, Comedy, Drama",72,60,7.2,99215042
Ciao Alberto,2021,TV-G,8,"Animation, Short, Comedy",0,0,6.9,0
Cinderella,1950,G,74,"Animation, Family, Fantasy",98,85,7.3,93141149
Cinderella Man,2005,PG-13,144,"Biography, Drama, Romance",80,69,8.0,61649911
Citizen Kane,1941,PG,119,"Drama, Mystery",99,100,8.3,1627530
City Lights,1931,G,87,"Comedy, Drama, Romance",95,99,8.5,19181
Cleopatra,1963,G,192,"Biography, Drama, History",56,60,7.0,57777778
Clerks,1994,R,92,Comedy,90,70,7.7,3151130
Cleveland Abduction,2015,TV-14,88,"Biography, Crime, Drama",0,0,6.6,0
Clifford the Big Red Dog,2021,PG,96,"Adventure, Comedy, Family",58,55,5.9,48947356
Close Encounters of the Third Kind,1977,PG,138,"Drama, Sci-Fi",94,90,7.6,135189114
Clouds,2020,PG-13,121,"Biography, Drama, Music",76,55,7.5,0
Clue,1985,PG,94,"Comedy, Crime, Mystery",71,41,7.2,14643997
Clueless,1995,PG-13,97,"Comedy, Romance",81,68,6.9,56631572
C'mon C'mon,2021,R,109,Drama,94,82,7.4,1863674
Coach Carter,2005,PG-13,136,"Biography, Drama, Sport",64,57,7.3,67264877
Coco,2017,PG,105,"Animation, Adventure, Drama",97,81,8.4,210460015
CODA,2021,PG-13,111,"Comedy, Drama, Music",94,72,8.0,0
Coherence,2013,Not Rated,89,"Drama, Mystery, Sci-Fi",89,65,7.2,102617
Collateral,2004,R,120,"Action, Crime, Drama",86,71,7.5,101005703
Collateral Beauty,2016,PG-13,97,"Drama, Romance",13,23,6.8,31016021
Colonia,2015,R,110,"Biography, Drama, History",29,33,7.0,15709
Columbus,2017,Not Rated,100,Drama,96,89,7.2,1017107
Concussion,2015,PG-13,123,"Biography, Drama, Sport",58,55,7.1,34542474
Conspiracy,2001,R,96,"Biography, Drama, History",100,0,7.6,0
Constantine,2005,R,121,"Action, Fantasy, Horror",46,50,7.0,75976178
Constantine: City of Demons - The Movie,2018,R,90,"Animation, Action, Fantasy",0,0,7.3,0
Contact,1997,PG,150,"Drama, Mystery, Sci-Fi",68,62,7.5,100920329
Control,2007,R,122,"Biography, Drama, Music",88,78,7.6,872252
Conviction,2010,R,107,"Biography, Crime, Drama",68,61,7.2,6783129
Cool Hand Luke,1967,PG,127,"Crime, Drama",100,92,8.1,0
